电影名,评分,短评
真爱至上,8.5,无
彗星来的那一夜,8.6,无
恋恋笔记本,8.5,无
海边的曼彻斯特,8.6,无
火星救援,8.5,无
黑客帝国2：重装上阵,8.7,无
步履不停,8.8,无
奇迹男孩,8.6,无
千年女优,8.8,无
战争之王,8.7,无
冰雪奇缘,8.5,无
萤火虫之墓,8.7,无
谍影重重2,8.7,无
蜘蛛侠：平行宇宙,8.6,无
攻壳机动队,9.0,无
血钻,8.7,无
魂断蓝桥,8.8,无
隐藏人物,8.9,无
房间,8.7,无
小姐,8.5,无
